gene_id	gene_type	gene_name	level
ENSG00000237491.4	lincRNA	RP11-206L10.9	level 2
ENSG00000230092.3	pseudogene	RP11-206L10.8	level 2
ENSG00000269831.1	protein_coding	AL669831.1	level 3
ENSG00000240453.1	processed_transcript	RP11-206L10.10	level 2
ENSG00000177757.1	lincRNA	FAM87B	level 2
ENSG00000225880.4	lincRNA	LINC00115	level 2
ENSG00000228794.4	processed_transcript	RP11-206L10.11	level 2
ENSG00000230368.2	lincRNA	FAM41C	level 2
ENSG00000234711.1	pseudogene	TUBB8P11	level 1
ENSG00000269308.1	protein_coding	AL645608.2	level 3
ENSG00000272438.1	lincRNA	RP11-54O7.16	level 2
ENSG00000230699.2	lincRNA	RP11-54O7.1	level 2
ENSG00000241180.1	lincRNA	RP11-54O7.2	level 2
ENSG00000223764.2	lincRNA	RP11-54O7.3	level 2
ENSG00000187634.6	protein_coding	SAMD11	level 2
ENSG00000268179.1	protein_coding	AL645608.1	level 3
ENSG00000188976.6	protein_coding	NOC2L	level 2
ENSG00000187961.9	protein_coding	KLHL17	level 2
ENSG00000187583.6	protein_coding	PLEKHN1	level 2
ENSG00000187642.5	protein_coding	C1orf170	level 2
ENSG00000272512.1	lincRNA	RP11-54O7.17	level 2
ENSG00000188290.6	protein_coding	HES4	level 2
ENSG00000231702.2	pseudogene	RP11-54O7.10	level 1
ENSG00000224969.1	antisense	RP11-54O7.11	level 1
ENSG00000187608.5	protein_coding	ISG15	level 2
ENSG00000188157.9	protein_coding	AGRN	level 2
ENSG00000242590.1	sense_intronic	RP11-54O7.14	level 2
ENSG00000217801.5	pseudogene	RP11-465B22.3	level 2
ENSG00000273443.1	lincRNA	RP11-54O7.18	level 2
ENSG00000237330.2	protein_coding	RNF223	level 2
ENSG00000131591.13	protein_coding	C1orf159	level 2
ENSG00000223823.1	lincRNA	RP11-465B22.5	level 2
ENSG00000207730.1	miRNA	MIR200B	level 3
ENSG00000207607.1	miRNA	MIR200A	level 3
ENSG00000198976.1	miRNA	MIR429	level 3
ENSG00000272141.1	lincRNA	RP11-465B22.8	level 2
ENSG00000205231.1	antisense	TTLL10-AS1	level 2
ENSG00000162571.9	protein_coding	TTLL10	level 2
ENSG00000186891.9	protein_coding	TNFRSF18	level 2
ENSG00000186827.6	protein_coding	TNFRSF4	level 2
ENSG00000078808.12	protein_coding	SDF4	level 2
ENSG00000176022.3	protein_coding	B3GALT6	level 2
ENSG00000184163.3	protein_coding	FAM132A	level 2
ENSG00000260179.1	lincRNA	RP5-902P8.12	level 2
ENSG00000160087.16	protein_coding	UBE2J2	level 2
ENSG00000230415.1	lincRNA	RP5-902P8.10	level 2
ENSG00000162572.15	protein_coding	SCNN1D	level 2
ENSG00000131584.14	protein_coding	ACAP3	level 2
ENSG00000169972.7	protein_coding	PUSL1	level 2
ENSG00000127054.14	protein_coding	CPSF3L	level 1
ENSG00000240731.1	sense_intronic	RP5-890O3.9	level 2
ENSG00000224051.2	protein_coding	GLTPD1	level 2
ENSG00000169962.4	protein_coding	TAS1R3	level 2
ENSG00000107404.13	protein_coding	DVL1	level 2
ENSG00000162576.12	protein_coding	MXRA8	level 2
ENSG00000175756.9	protein_coding	AURKAIP1	level 2
ENSG00000223663.2	pseudogene	RP5-890O3.3	level 1
ENSG00000221978.7	protein_coding	CCNL2	level 2
ENSG00000224870.3	protein_coding	RP4-758J18.2	level 2
ENSG00000242485.1	protein_coding	MRPL20	level 1
ENSG00000264293.1	misc_RNA	RN7SL657P	level 3
ENSG00000272455.1	lincRNA	RP4-758J18.13	level 2
ENSG00000235098.4	protein_coding	ANKRD65	level 1
ENSG00000225905.1	antisense	RP4-758J18.7	level 2
ENSG00000205116.3	protein_coding	TMEM88B	level 2
ENSG00000225285.1	lincRNA	RP4-758J18.10	level 1
ENSG00000179403.10	protein_coding	VWA1	level 2
ENSG00000215915.5	protein_coding	ATAD3C	level 2
ENSG00000160072.15	protein_coding	ATAD3B	level 2
ENSG00000197785.9	protein_coding	ATAD3A	level 2
ENSG00000205090.4	protein_coding	TMEM240	level 2
ENSG00000160075.10	protein_coding	SSU72	level 2
ENSG00000215791.2	pseudogene	AL645728.2	level 3
ENSG00000215014.3	protein_coding	AL645728.1	level 3
ENSG00000236684.1	pseudogene	AL645728.3	level 3
ENSG00000228594.1	protein_coding	C1orf233	level 2
ENSG00000272106.1	antisense	RP11-345P4.9	level 2
ENSG00000197530.8	protein_coding	MIB2	level 1
ENSG00000189409.8	protein_coding	MMP23B	level 2
ENSG00000248333.3	protein_coding	CDK11B	level 2
ENSG00000272004.1	antisense	RP11-345P4.10	level 2
ENSG00000189339.7	protein_coding	SLC35E2B	level 2
ENSG00000269737.1	antisense	RP11-345P4.7	level 2
ENSG00000269227.1	pseudogene	RP11-345P4.6	level 1
ENSG00000215914.3	pseudogene	MMP23A	level 2
ENSG00000008128.18	protein_coding	CDK11A	level 2
ENSG00000268575.1	processed_transcript	RP1-283E3.8	level 2
ENSG00000227775.3	pseudogene	RP1-283E3.4	level 1
ENSG00000215790.2	protein_coding	SLC35E2	level 2
ENSG00000008130.11	protein_coding	NADK	level 2
ENSG00000078369.13	protein_coding	GNB1	level 1
ENSG00000231050.1	antisense	RP1-140A9.1	level 2
ENSG00000169885.5	protein_coding	CALML6	level 1
ENSG00000178821.8	protein_coding	TMEM52	level 2
ENSG00000142609.13	protein_coding	C1orf222	level 1
ENSG00000233542.1	antisense	RP11-547D24.1	level 2
ENSG00000187730.6	protein_coding	GABRD	level 2
ENSG00000226969.1	antisense	RP11-547D24.3	level 2
ENSG00000067606.11	protein_coding	PRKCZ	level 1
ENSG00000271806.1	antisense	RP5-892K4.1	level 2
ENSG00000182873.4	antisense	RP11-181G12.2	level 1
ENSG00000162585.12	protein_coding	C1orf86	level 2
ENSG00000269554.1	protein_coding	AL590822.2	level 3
ENSG00000203301.2	protein_coding	AL590822.1	level 3
ENSG00000243558.1	lincRNA	RP11-181G12.5	level 2
ENSG00000234396.3	lincRNA	RP11-181G12.4	level 2
ENSG00000157933.9	protein_coding	SKI	level 2
ENSG00000116151.9	protein_coding	MORN1	level 1
ENSG00000272161.1	sense_intronic	RP4-713A8.1	level 2
ENSG00000269753.1	protein_coding	AL589739.1	level 3
ENSG00000269896.1	processed_transcript	RP4-740C4.6	level 2
ENSG00000238240.2	pseudogene	RP4-740C4.5	level 1
ENSG00000272420.1	sense_intronic	RP4-740C4.7	level 2
ENSG00000271921.1	sense_intronic	RP4-740C4.9	level 2
ENSG00000271847.1	sense_intronic	RP4-740C4.8	level 2
ENSG00000178642.5	pseudogene	AL513477.1	level 3
ENSG00000157916.14	protein_coding	RER1	level 2
ENSG00000157911.5	protein_coding	PEX10	level 1
ENSG00000149527.13	protein_coding	PLCH2	level 2
ENSG00000224387.1	antisense	RP3-395M20.2	level 1
ENSG00000229393.1	antisense	RP3-395M20.3	level 1
ENSG00000157881.9	protein_coding	PANK4	level 2
ENSG00000197921.5	protein_coding	HES5	level 2
ENSG00000272449.1	lincRNA	RP3-395M20.12	level 2
ENSG00000238164.2	processed_transcript	RP3-395M20.8	level 2
ENSG00000157873.13	protein_coding	TNFRSF14	level 2
ENSG00000225931.3	antisense	RP3-395M20.7	level 2
ENSG00000228037.1	antisense	RP3-395M20.9	level 1
ENSG00000157870.10	protein_coding	FAM213B	level 2
ENSG00000142606.11	protein_coding	MMEL1	level 2
ENSG00000237058.1	antisense	RP13-436F16.1	level 1
ENSG00000215912.7	protein_coding	TTC34	level 2
ENSG00000233234.1	lincRNA	RP11-740P5.2	level 1
ENSG00000231630.1	lincRNA	RP11-740P5.3	level 2
ENSG00000169717.5	protein_coding	ACTRT2	level 2
ENSG00000177133.6	antisense	LINC00982	level 2
ENSG00000256761.1	pseudogene	AL008733.1	level 3
ENSG00000142611.12	protein_coding	PRDM16	level 2
ENSG00000226286.1	antisense	RP1-163G9.2	level 2
ENSG00000272235.1	lincRNA	RP11-22L13.1	level 2
ENSG00000130762.10	protein_coding	ARHGEF16	level 2
ENSG00000272088.1	lincRNA	RP11-168F9.2	level 2
ENSG00000162591.11	protein_coding	MEGF6	level 2
ENSG00000207776.1	miRNA	MIR551A	level 3
ENSG00000238260.1	antisense	RP11-46F15.2	level 2
ENSG00000158109.10	protein_coding	TPRG1L	level 2
ENSG00000116213.11	protein_coding	WRAP73	level 1
ENSG00000078900.10	protein_coding	TP73	level 2
ENSG00000227589.1	antisense	RP5-1092A11.5	level 1
ENSG00000235131.1	antisense	RP5-1092A11.2	level 2
ENSG00000227372.6	antisense	TP73-AS1	level 2
ENSG00000162592.4	protein_coding	CCDC27	level 2
ENSG00000235169.3	protein_coding	SMIM1	level 1
ENSG00000130764.5	protein_coding	LRRC47	level 2
ENSG00000266075.1	misc_RNA	RN7SL574P	level 3
ENSG00000272153.1	antisense	RP1-286D6.5	level 2
ENSG00000116198.8	protein_coding	CEP104	level 2
ENSG00000169598.11	protein_coding	DFFB	level 2
ENSG00000264428.1	miRNA	AL691523.1	level 3
ENSG00000198912.6	protein_coding	C1orf174	level 2
ENSG00000236423.1	lincRNA	RP13-15E13.1	level 2
ENSG00000233304.1	lincRNA	RP13-614K11.1	level 2
ENSG00000226374.1	lincRNA	RP13-614K11.2	level 1
ENSG00000229280.1	pseudogene	RP11-374C13.1	level 1
ENSG00000235054.1	lincRNA	RP5-1166F10.1	level 2
ENSG00000227169.2	lincRNA	RP1-37J18.1	level 2
ENSG00000232596.1	lincRNA	RP1-37J18.2	level 2
ENSG00000196581.6	protein_coding	AJAP1	level 2
ENSG00000231510.1	lincRNA	RP11-542C10.1	level 1
ENSG00000260972.1	lincRNA	RP1-58B11.1	level 2
ENSG00000264341.1	miRNA	MIR4417	level 3
ENSG00000236948.1	lincRNA	RP11-154H17.1	level 2
ENSG00000216045.2	miRNA	AL356693.1	level 3
ENSG00000264101.1	miRNA	MIR4689	level 3
ENSG00000131697.13	protein_coding	NPHP4	level 2
ENSG00000266687.1	miRNA	AL356261.1	level 3
ENSG00000069424.10	protein_coding	KCNAB2	level 2
ENSG00000268332.1	protein_coding	AL035406.1	level 3
ENSG00000116254.13	protein_coding	CHD5	level 2
ENSG00000116251.5	protein_coding	RPL22	level 2
ENSG00000226944.1	antisense	RP1-120G22.11	level 2
ENSG00000158286.8	protein_coding	RNF207	level 2
ENSG00000116237.11	protein_coding	ICMT	level 2
ENSG00000225077.2	antisense	LINC00337	level 2
ENSG00000173673.7	protein_coding	HES3	level 2
ENSG00000158292.6	protein_coding	GPR153	level 2
ENSG00000097021.15	protein_coding	ACOT7	level 2
ENSG00000271746.1	antisense	RP1-202O8.3	level 2
ENSG00000069812.7	protein_coding	HES2	level 2
ENSG00000187017.10	protein_coding	ESPN	level 2
ENSG00000265392.1	miRNA	MIR4252	level 3
ENSG00000231868.1	antisense	RP1-202O8.2	level 2
ENSG00000215788.5	protein_coding	TNFRSF25	level 2
ENSG00000171680.16	protein_coding	PLEKHG5	level 2
ENSG00000162408.10	protein_coding	NOL9	level 2
ENSG00000253022.1	snRNA	RNU6-731P	level 3
ENSG00000229519.2	pseudogene	RP11-58A11.2	level 1
ENSG00000173662.15	protein_coding	TAS1R1	level 1
ENSG00000204859.7	protein_coding	ZBTB48	level 2
ENSG00000162413.12	protein_coding	KLHL21	level 1
ENSG00000116273.5	protein_coding	PHF13	level 2
ENSG00000041988.11	protein_coding	THAP3	level 2
ENSG00000007923.11	protein_coding	DNAJC11	level 2
ENSG00000228750.1	lincRNA	RP11-242F24.1	level 2
ENSG00000239166.1	snoRNA	snoU13	level 3
ENSG00000237436.1	antisense	RP11-312B8.1	level 2
ENSG00000171735.14	protein_coding	CAMTA1	level 1
ENSG00000227950.1	pseudogene	RP11-312B8.2	level 1
ENSG00000237365.1	antisense	RP11-334N17.1	level 2
ENSG00000207056.1	snRNA	RNU1-8P	level 3
ENSG00000237402.1	sense_intronic	CAMTA1-IT1	level 1
ENSG00000237728.1	antisense	RP3-453P22.2	level 1
ENSG00000225126.1	antisense	RP4-549F15.1	level 2
ENSG00000270171.1	lincRNA	RP11-338N10.1	level 2
ENSG00000270035.1	lincRNA	RP11-338N10.2	level 2
ENSG00000269978.1	lincRNA	RP11-338N10.3	level 2
ENSG00000049245.8	protein_coding	VAMP3	level 1
ENSG00000269925.1	sense_intronic	RP3-467L1.6	level 2
ENSG00000049246.10	protein_coding	PER3	level 1
ENSG00000236266.1	antisense	RP3-467L1.4	level 1
ENSG00000049247.9	protein_coding	UTS2	level 2
ENSG00000049249.4	protein_coding	TNFRSF9	level 1
ENSG00000270330.1	pseudogene	RP5-892F13.2	level 1
ENSG00000116288.8	protein_coding	PARK7	level 1
ENSG00000200344.1	misc_RNA	Y_RNA	level 3
ENSG00000116285.8	protein_coding	ERRFI1	level 1
ENSG00000238290.1	lincRNA	RP11-431K24.1	level 2
ENSG00000232848.1	pseudogene	CTA-215D11.4	level 1
ENSG00000229305.1	pseudogene	RP11-431K24.2	level 1
ENSG00000200975.1	snRNA	RNU1-7P	level 3
ENSG00000227634.1	lincRNA	RP11-431K24.3	level 1
ENSG00000233645.1	lincRNA	RP11-431K24.4	level 2
ENSG00000265414.1	misc_RNA	RN7SL729P	level 3
ENSG00000251977.1	snRNA	RNU6-991P	level 3
ENSG00000162426.10	protein_coding	SLC45A1	level 2
ENSG00000252254.1	misc_RNA	Y_RNA	level 3
ENSG00000142599.13	protein_coding	RERE	level 1
ENSG00000232912.1	antisense	RP5-1115A15.1	level 1
ENSG00000221083.1	snoRNA	SNORA77	level 3
ENSG00000270282.1	pseudogene	RP5-1115A15.2	level 1
ENSG00000234619.1	pseudogene	RP4-633I8.1	level 1
ENSG00000224315.2	pseudogene	RP4-633I8.2	level 1
ENSG00000222511.1	misc_RNA	Y_RNA	level 3
ENSG00000226545.1	pseudogene	RP4-633I8.3	level 1
ENSG00000228423.2	lincRNA	RP4-633I8.4	level 2
ENSG00000229716.2	pseudogene	RP11-185B14.1	level 1
ENSG00000074800.9	protein_coding	ENO1	level 2
ENSG00000236269.1	sense_intronic	ENO1-IT1	level 2
ENSG00000230679.1	antisense	ENO1-AS1	level 1
ENSG00000201725.1	snRNA	RNU6-304P	level 3
ENSG00000238249.1	pseudogene	HMGN2P17	level 2
ENSG00000232208.2	pseudogene	RP3-477M7.5	level 2
ENSG00000232663.2	pseudogene	RP3-477M7.6	level 2
ENSG00000131686.10	protein_coding	CA6	level 1
ENSG00000265141.1	misc_RNA	RN7SL451P	level 3
ENSG00000197241.3	protein_coding	SLC2A7	level 2
ENSG00000142583.13	protein_coding	SLC2A5	level 2
ENSG00000252404.1	snoRNA	SCARNA16	level 3
ENSG00000180758.10	protein_coding	GPR157	level 2
ENSG00000207865.1	miRNA	MIR34A	level 3
ENSG00000228526.2	lincRNA	RP3-510D11.1	level 2
ENSG00000234546.2	lincRNA	RP3-510D11.2	level 2
ENSG00000049239.8	protein_coding	H6PD	level 2
ENSG00000252841.1	miRNA	Z98044.1	level 3
ENSG00000171621.9	protein_coding	SPSB1	level 2
ENSG00000252956.1	rRNA	RNA5SP40	level 3
ENSG00000235263.1	lincRNA	RP13-392I16.1	level 2
ENSG00000171612.6	protein_coding	SLC25A33	level 2
ENSG00000231181.1	pseudogene	RP13-15M17.1	level 1
ENSG00000188807.8	protein_coding	TMEM201	level 2
ENSG00000171608.11	protein_coding	PIK3CD	level 2
ENSG00000179840.5	protein_coding	C1orf200	level 2
ENSG00000233268.3	pseudogene	RP11-558F24.2	level 1
ENSG00000231789.2	antisense	RP11-558F24.4	level 2
ENSG00000171603.12	protein_coding	CLSTN1	level 2
ENSG00000271264.1	pseudogene	RP11-558F24.6	level 1
ENSG00000178585.10	protein_coding	CTNNBIP1	level 2
ENSG00000223989.1	antisense	RP11-84A14.5	level 2
ENSG00000162441.7	protein_coding	LZIC	level 2
ENSG00000228150.1	sense_intronic	RP11-84A14.4	level 2
ENSG00000173614.9	protein_coding	NMNAT1	level 1
ENSG00000202415.1	misc_RNA	RN7SKP269	level 3
ENSG00000265521.1	miRNA	MIR5697	level 3
ENSG00000241326.1	sense_intronic	RP11-807G9.2	level 2
ENSG00000162444.11	protein_coding	RBP7	level 2
ENSG00000225786.2	pseudogene	AL590639.1	level 3
ENSG00000130939.14	protein_coding	UBE4B	level 2
ENSG00000224340.1	pseudogene	RP11-496H15.2	level 1
ENSG00000233623.2	pseudogene	PGAM1P11	level 1
ENSG00000201746.1	snRNA	RNU6-828P	level 3
ENSG00000054523.12	protein_coding	KIF1B	level 1
ENSG00000264881.1	miRNA	MIR1273D	level 3
ENSG00000199562.1	snRNA	RNU6-37P	level 3
ENSG00000264501.1	misc_RNA	RN7SL731P	level 3
ENSG00000265945.1	misc_RNA	RN7SL721P	level 3
ENSG00000142657.16	protein_coding	PGD	level 2
ENSG00000271989.1	antisense	RP4-736L20.3	level 2
ENSG00000175279.17	protein_coding	APITD1	level 1
ENSG00000251503.3	protein_coding	APITD1-CORT	level 2
ENSG00000241563.2	protein_coding	CORT	level 2
ENSG00000160049.7	protein_coding	DFFA	level 2
ENSG00000203469.2	antisense	RP5-1113E3.3	level 2
ENSG00000142655.8	protein_coding	PEX14	level 2
ENSG00000243267.2	misc_RNA	RN7SL614P	level 3
ENSG00000130940.10	protein_coding	CASZ1	level 2
ENSG00000272078.1	antisense	RP4-734G22.3	level 2
ENSG00000225158.2	pseudogene	RP11-340B24.3	level 1
ENSG00000175262.10	protein_coding	C1orf127	level 1
ENSG00000215785.2	pseudogene	CFL1P6	level 1
ENSG00000264181.1	miRNA	AL713997.1	level 3
ENSG00000207213.1	misc_RNA	Y_RNA	level 3
ENSG00000120948.11	protein_coding	TARDBP	level 2
ENSG00000009724.12	protein_coding	MASP2	level 2
ENSG00000271895.1	antisense	RP4-635E18.8	level 2
ENSG00000116649.5	protein_coding	SRM	level 1
ENSG00000171824.9	protein_coding	EXOSC10	level 2
ENSG00000226849.1	antisense	RP4-635E18.7	level 2
ENSG00000230337.1	antisense	RP4-635E18.6	level 1
ENSG00000198793.8	protein_coding	MTOR	level 2
ENSG00000225602.1	antisense	MTOR-AS1	level 2
ENSG00000253086.1	snRNA	RNU6-537P	level 3
ENSG00000271794.1	snoRNA	snoU13	level 3
ENSG00000171819.4	protein_coding	ANGPTL7	level 2
ENSG00000207451.1	snRNA	RNU6-291P	level 3
ENSG00000238173.1	pseudogene	RPL39P6	level 1
ENSG00000120942.9	protein_coding	UBIAD1	level 2
ENSG00000238199.1	pseudogene	UBE2V2P3	level 1
ENSG00000224338.2	pseudogene	RP11-149P14.1	level 2
ENSG00000204624.6	protein_coding	PTCHD2	level 2
ENSG00000235643.1	lincRNA	RP1-69M21.2	level 2
ENSG00000116661.9	protein_coding	FBXO2	level 2
ENSG00000132879.9	protein_coding	FBXO44	level 2
ENSG00000116663.6	protein_coding	FBXO6	level 2
ENSG00000116670.10	protein_coding	MAD2L2	level 2
ENSG00000162490.6	protein_coding	DRAXIN	level 2
ENSG00000177674.11	protein_coding	AGTRAP	level 2
ENSG00000215910.3	protein_coding	C1orf167	level 1
ENSG00000177553.6	antisense	RP11-56N19.5	level 2
ENSG00000177000.6	protein_coding	MTHFR	level 2
ENSG00000011021.17	protein_coding	CLCN6	level 2
ENSG00000242349.1	antisense	NPPA-AS1	level 2
ENSG00000175206.6	protein_coding	NPPA	level 2
ENSG00000120937.8	protein_coding	NPPB	level 2
ENSG00000224904.1	pseudogene	RP5-934G17.6	level 1
ENSG00000199347.1	snRNA	RNU5E-1	level 3
ENSG00000201801.1	snRNA	RNU5E-4P	level 3
ENSG00000116685.11	protein_coding	KIAA2013	level 2
ENSG00000083444.12	protein_coding	PLOD1	level 2
ENSG00000116688.12	protein_coding	MFN2	level 2
ENSG00000270914.1	pseudogene	RP5-1077B9.5	level 1
ENSG00000116691.6	protein_coding	MIIP	level 2
ENSG00000202461.1	misc_RNA	Y_RNA	level 3
ENSG00000243539.2	misc_RNA	RN7SL649P	level 3
ENSG00000120949.10	protein_coding	TNFRSF8	level 2
ENSG00000201135.1	snRNA	RNU6-777P	level 3
ENSG00000227875.2	pseudogene	RP11-426M1.2	level 1
ENSG00000028137.12	protein_coding	TNFRSF1B	level 2
ENSG00000263676.1	miRNA	MIR4632	level 3
ENSG00000225196.2	pseudogene	RP5-1118D24.2	level 2
ENSG00000252969.1	snoRNA	SNORA70	level 3
ENSG00000048707.9	protein_coding	VPS13D	level 2
ENSG00000239149.1	snoRNA	SNORA59A	level 3
ENSG00000229484.1	lincRNA	RP5-888M10.2	level 2
ENSG00000162496.4	protein_coding	DHRS3	level 2
ENSG00000221340.1	snRNA	RNU6ATAC18P	level 3
ENSG00000272482.1	lincRNA	RP11-474O21.5	level 2
ENSG00000204518.2	protein_coding	AADACL4	level 2
ENSG00000226166.2	pseudogene	RP11-474O21.2	level 2
ENSG00000188984.7	protein_coding	AADACL3	level 2
ENSG00000238771.1	snoRNA	snoU13	level 3
ENSG00000157330.5	protein_coding	C1orf158	level 2
ENSG00000116726.4	protein_coding	PRAMEF12	level 2
ENSG00000116721.9	protein_coding	PRAMEF1	level 2
ENSG00000228338.1	lincRNA	RP5-845O24.8	level 2
ENSG00000204513.5	protein_coding	PRAMEF11	level 2
ENSG00000231103.2	pseudogene	RP5-845O24.3	level 2
ENSG00000179172.7	protein_coding	HNRNPCL1	level 2
ENSG00000120952.4	protein_coding	PRAMEF2	level 2
ENSG00000243073.3	protein_coding	PRAMEF4	level 2
ENSG00000187545.5	protein_coding	PRAMEF10	level 2
ENSG00000204510.1	protein_coding	PRAMEF7	level 2
ENSG00000207434.1	snRNA	RNU6-1072P	level 3
ENSG00000234064.1	pseudogene	RP11-450I1.2	level 2
ENSG00000232423.3	protein_coding	PRAMEF6	level 2
ENSG00000250894.1	pseudogene	RP11-450I1.4	level 2
ENSG00000204508.3	protein_coding	PRAMEF22	level 2
ENSG00000239810.2	protein_coding	WI2-3308P17.2	level 2
ENSG00000270601.1	pseudogene	PRAMEF23	level 2
ENSG00000250113.1	pseudogene	RP13-221M14.6	level 2
ENSG00000204505.3	pseudogene	PRAMEF25	level 2
ENSG00000233336.1	lincRNA	RP13-221M14.2	level 2
ENSG00000229978.1	pseudogene	RP13-221M14.3	level 2
ENSG00000236179.1	pseudogene	RP13-221M14.4	level 2
ENSG00000179412.8	pseudogene	HNRNPCP5	level 1
ENSG00000224199.1	pseudogene	WI2-2994D6.1	level 2
ENSG00000229571.2	protein_coding	PRAMEF26	level 2
ENSG00000204503.5	protein_coding	PRAMEF3	level 2
ENSG00000233394.1	pseudogene	RP11-248D7.2	level 2
ENSG00000204502.2	protein_coding	PRAMEF5	level 2
ENSG00000231219.1	pseudogene	RP11-219C24.8	level 2
ENSG00000207511.1	snRNA	RNU6-771P	level 3
ENSG00000182330.6	protein_coding	PRAMEF8	level 2
ENSG00000237700.1	pseudogene	RP11-219C24.6	level 2
ENSG00000204501.2	protein_coding	PRAMEF9	level 2
ENSG00000228229.2	lincRNA	RP11-219C24.10	level 2
ENSG00000204495.3	protein_coding	PRAMEF13	level 2
ENSG00000204491.2	protein_coding	PRAMEF18	level 2
ENSG00000204488.3	protein_coding	PRAMEF16	level 2
ENSG00000204486.3	protein_coding	PRAMEF21	level 2
ENSG00000204485.2	pseudogene	XX-FW84067D5.1	level 2
ENSG00000224581.1	pseudogene	XX-FW84067D5.2	level 2
ENSG00000157358.7	protein_coding	PRAMEF15	level 2
ENSG00000204481.6	protein_coding	PRAMEF14	level 2
ENSG00000204480.6	protein_coding	PRAMEF19	level 2
ENSG00000204479.4	protein_coding	PRAMEF17	level 2
ENSG00000204478.5	protein_coding	PRAMEF20	level 2
ENSG00000162494.5	protein_coding	LRRC38	level 2
ENSG00000259961.1	antisense	RP4-597A16.2	level 2
ENSG00000215909.3	pseudogene	RP4-597A16.3	level 1
ENSG00000162493.12	protein_coding	PDPN	level 1
ENSG00000222952.1	rRNA	RNA5SP41	level 3
ENSG00000266358.1	miRNA	AL359771.1	level 3
ENSG00000237445.2	lincRNA	CTA-520D8.2	level 2
ENSG00000253085.1	snoRNA	SCARNA11	level 3
ENSG00000116731.18	protein_coding	PRDM2	level 2
ENSG00000252151.1	snRNA	RNU6-1265P	level 3
ENSG00000231606.1	lincRNA	RP11-344F13.1	level 2
ENSG00000234593.1	lincRNA	RP4-704D23.1	level 2
ENSG00000189337.11	protein_coding	KAZN	level 2
ENSG00000235829.1	pseudogene	TBCAP2	level 1
ENSG00000175147.7	processed_transcript	TMEM51-AS1	level 2
ENSG00000171729.9	protein_coding	TMEM51	level 2
ENSG00000204464.3	protein_coding	C1orf195	level 2
ENSG00000215720.4	pseudogene	RP1-21O18.3	level 1
ENSG00000142621.15	protein_coding	FHAD1	level 2
ENSG00000233485.1	antisense	RP3-467K16.2	level 2
ENSG00000236045.1	antisense	RP3-467K16.7	level 2
